downloads,cache,properties,network_state,Label
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,1,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,1,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
0,0,0,0,unsafe
0,0,0,1,unsafe
